review,notes,dates,accords_avis,dessaccords_avis
belle blague je eu gratuitement résultat mon pote devenu mon ennemi je vous déconseille cette blague est vraiment pire jeu foot ne achetez pas est vraiment honte bug chaque fois je suis devant cage mon joueur ne tire pas arrête bougez est vraiment sketch,0,03/10/2023,21,0
ea qui comme habitude engraisse avec pigeons mais jeu est pire en pire une caaataaastrophe simulation football lol vivement qu un concurrent vienne immiscer lutte est pas près arriver malheureusement,0,29/09/2023,17,0
ils ont réussi faire pire que fifa milieu défense ouest on impression que est fait exprès avoir matchs buts fuir,0,29/09/2023,15,0
adepte fifa depuis ai toujours été convaincu par ce que proposait marque avec hauts bas certes mais certain niveau qualité prestige et malgré quelques allers retours chez pes suis toujours revenu car fifa restait référence mais cette année cela ne peut plus être cas ce eafc plus grand chose voir avec simulation football mesure où match en lui même cœur du jeu foot est succession catastrophes certes contenu est pléthorique mais est vaine consolation quand finalité du jeu jouer au football est telle souffrance même en faisant abstraction du online mode lequel gameplay devient carrément grotesque jeu ne procure aucun plaisir tant physique du ballon joueurs leurs vitesses relatives passes tirs jeu gardiens tout cela est complètement côté plaque même opus précédent reconnu comme mauvais mais ayant excuse transition ne proposait pas niveau simulation aussi désastreux aussi je suis extrêmement surpris par note attribuée par testeur ai vraiment impression avoir joué autre jeu que lui points positifs le mode carrière joueur très complet permettant faire abstraction du gameplay condition contrôler joueur seul le contenu points négatifs jouer match football jeu tout est revoir physique joueurs ballons passes absurdes combo tir arrêt du gardien totalement irréaliste ia coéquipiers en phase défensive ia coéquipiers en phase possession ia adverse online qui transforme tout cela en grand importe quoi,5,29/09/2023,34,3
ce est pas du football joueurs glissent partout aucun équilibre entre attaque défense jeu catastrophique en état arnaque totale euros,0,30/09/2023,14,0
ai même plus mots quelle médiocrité bon sang et rester poli chez ea plus aucun effort fournir aucune concurrence donc on reste au mieux sur nos acquis on continue pondre daube jeu arcade avec son jeu cartes claqué mais hyper lucratif qui convient tous footix perso je en balancerais royalement licences si autre éditeur composés vrais passionnés nous sortaient vraie simulation football avec gameplay réaliste si seulement autre acteur entrait danse tellement place prendre,0,30/09/2023,14,0
copié collé du honteux vendre ça euros est tellement dommage que gens soient encore assez fou bien noter ce jeu ça vous fait rien franchement moment donné faudrait peut être leur faire comprendre qu ils ont fait,0,30/09/2023,20,1
la déception est totale franchement est pire opus série fifa était limite bien meilleur ça franchement grave passez votre chemin,0,29/09/2023,13,0
ea pire en pire des voleurs complet est plus nul tous fifa ça en devient écœurant même les modélisations joueurs connus pas finaliser maillots manquants et encore pire ils ont totalement supprimé scènes entrées matchs fini hymne ldc ligue anglaise bundesliga séria liga etc avec entrée joueurs hyper bâclé ca ne ressemble même plus jeu simulation football un désastre complet surtout prix totalement dégoûté par ce jeu et surtout cette entreprise bons riens avec leur développeurs hyper incompétents gameplay chier que scores tennis gardiens passoir le jeu fuir,1,29/09/2023,25,2
encore année où je perd argent ea pire en pire joueurs qui beug gardien vrai grosse merde arrêt communauté en ligne en parle pas gens ne savent plus jouer au football il savent faire que tout droit engagement du match création jeux sa devient écœurant femmes qui ont meilleurs stats que mecs du jamais vue ok femme savent jouer au foot mais faut pas abuser non plus faute coup épaule ou pied sur ballon carton rouge tacle boucher est avertissement voir jaune je parle pas beug ou scrip quand tu mène au score du genre mi temp deuxième mi temp adversaire tout contre improbable du jeu remonte score voir passe devant en même pas min changements joueur se font aléatoirement donc sa devien ingérable en défense ect ea manger vous mur tant qu il aura pas amélioration je supprime jeu,0,04/10/2023,12,0
