review,notes,dates,accords_avis,dessaccords_avis,cleanned_review,classification
Belle blague je les eu gratuitement résultat mon pote et devenu mon ennemi je vous déconseille cette blague c'est vraiment le pire jeu de foot ne l'achetez pas c'est vraiment une honte les bug a chaque fois je suis devant les cage mon joueur ne tire pas s'arrête de bougez c'est vraiment un sketch,0,03/10/2023,21,0,belle blague gratuitement résultat mon pote devenu mon ennemi déconseille blague vraiment pire jeu foot achetez vraiment honte bug chaque fois suis devant cage mon joueur tire arrête bougez vraiment sketch,anger
"EA qui comme d'habitude s'engraisse avec les pigeons mais le jeu est de pire en pire. Une Caaataaastrophe ""Simulation"" de football lol.Vivement qu'un concurrent vienne s'immiscer dans la lutte ! C'est pas près d'arriver malheureusement !",0,29/09/2023,17,0,comme habitude engraisse avec pigeons jeu pire pire caaataaastrophe simulation football lol vivement concurrent vienne immiscer lutte près arriver malheureusement,sad
Ils ont réussi à faire pire que Fifa 23 ! Milieu et défense à l’ouest. On a l’impression que c’est fait exprès pour avoir des matchs à 789 buts… À fuir,0,29/09/2023,15,0,ont réussi faire pire fifa milieu défense ouest impression fait exprès matchs buts fuir,sad
"Adepte des FIFA depuis le 96 j'ai toujours été convaincu par ce que proposait la marque avec des hauts et des bas certes mais un certain niveau de qualité et de prestige. Et malgré quelques allers-retours chez PES j'y suis toujours revenu car FIFA restait une référence. Mais cette année cela ne peut plus être le cas. Ce EAFC24 n'a plus grand chose à voir avec une simulation de football dans la mesure où le match en lui-même le cœur du jeu de foot est une succession de catastrophes. Certes le contenu est pléthorique mais c'est une vaine consolation quand la finalité du jeu jouer au football est une telle souffrance. Même en faisant abstraction du online mode dans lequel le gameplay devient carrément grotesque le jeu ne procure aucun plaisir tant la physique du ballon des joueurs leurs vitesses relatives les passes les ""tirs"" le jeu des gardiens tout cela est complètement à côté de la plaque. Même l'opus précédent reconnu comme mauvais mais ayant l'excuse de la transition ne proposait pas un niveau de simulation aussi désastreux. Aussi je suis extrêmement surpris par la note attribuée par le testeur j'ai vraiment l'impression d'avoir joué à un autre jeu que lui.Points positifs :- Le mode carrière joueur très complet et permettant de faire abstraction du gameplay à condition de contrôler le joueur seul.- Le contenu.Points négatifs :- Jouer un match de football dans le jeu : tout est à revoir la physique des joueurs des ballons les passes absurdes le combo tir-arrêt du gardien totalement irréaliste L'IA des coéquipiers en phase défensive l'IA des coéquipiers en phase de possession l'IA adverse le online qui transforme tout cela en grand n'importe quoi...",5,29/09/2023,34,3,adepte fifa depuis toujours été convaincu proposait marque avec hauts bas certes certain niveau qualité prestige malgré quelques allers retours chez pes suis toujours revenu car fifa restait référence année cela peut être cas eafc grand chose voir avec simulation football mesure match lui cœur jeu foot succession catastrophes certes contenu pléthorique vaine consolation quand finalité jeu jouer football telle souffrance faisant abstraction online mode lequel gameplay devient carrément grotesque jeu procur,sad
Ce n'est pas du football les joueurs glissent de partout  aucun équilibre entre l'attaque et la défense..Jeu catastrophique en l'état .Arnaque totale a 70 euros,0,30/09/2023,14,0,football joueurs glissent partout aucun équilibre entre attaque défense jeu catastrophique état arnaque totale euros,anger
J'ai même plus les mots... Quelle médiocrité bon sang (et pour rester poli) ! Chez EA plus aucun effort à fournir aucune concurrence donc on reste au mieux sur nos acquis et on continue de pondre une daube de jeu arcade avec son jeu de cartes claqué mais hyper lucratif qui convient à tous les footix.Perso je m'en balancerais royalement des licences si un autre éditeur composés de vrais passionnés nous sortaient une vraie simulation de football avec un gameplay réaliste. Si seulement un autre acteur entrait dans la danse. Y a tellement une place à prendre.,0,30/09/2023,14,0,mots quelle médiocrité bon sang rester poli chez aucun effort fournir aucune concurrence reste mieux nos acquis continue pondre daube jeu arcade avec son jeu cartes claqué hyper lucratif convient tous footix perso balancerais royalement licences autre éditeur composés vrais passionnés nous sortaient vraie simulation football avec gameplay réaliste seulement autre acteur entrait danse tellement place prendre,anger
Copié collé du 23 honteux de vendre ça 70 euros. C'est tellement dommage que les gens soient encore assez fou pour bien noter ce jeu. Ça vous fait rien franchement ? À un moment donné faudrait peut-être leur faire comprendre qu'ils ont fait de la *****.,0,30/09/2023,20,1,copié collé honteux vendre euros tellement dommage gens soient encore assez fou bien noter jeu fait rien franchement moment donné faudrait peut être leur faire comprendre ont fait,anger
La déception est totale  franchement c'est le pire opus de la série fifa 23 était limite bien meilleur 80e pour ça franchement c grave.passez votre chemin.,0,29/09/2023,13,0,déception totale franchement pire opus série fifa était limite bien meilleur franchement grave passez votre chemin,sad
EA de pire en pire. Des voleurs complet. C’est le plus nul de tous les fifa. Ça en devient écœurant même. Les modélisations de joueurs connus pas finaliser maillots manquants.Et encore pire ils ont totalement supprimé les scènes d’entrées de matchs. (Fini l’hymne de la LDC ligue anglaise bundesliga séria A liga etc…) avec l’entrée des joueurs hyper bâclé.Ca ne ressemble même plus à un jeu de simulation de football.Un désastre complet surtout pour le prix.Totalement dégoûté par ce jeu de m….Et surtout cette entreprise de bons a riens avec leur développeurs hyper incompétents.Gameplay à chier que des scores de tennis gardiens passoir …Le jeu à fuir !,1,29/09/2023,25,2,pire pire voleurs complet nul tous fifa devient écœurant modélisations joueurs connus finaliser maillots manquants encore pire ont totalement supprimé scènes entrées matchs fini hymne ldc ligue anglaise bundesliga séria liga etc avec entrée joueurs hyper bâclé ressemble jeu simulation football désastre complet surtout prix totalement dégoûté jeu surtout entreprise bons riens avec leur développeurs hyper incompétents gameplay chier scores tennis gardiens passoir jeu fuir,sad
Encore une année où je perd de l’argent  EA de pire en pire  les joueurs qui beug  les gardien de la vrai grosse merde 0 arrêt  la communauté en ligne j’en parle pas les gens ne savent plus jouer au football il savent faire que des tout droit des l’engagement du match 0 création de jeux sa devient écœurant les femmes qui ont de meilleurs stats que les mecs du jamais vue ok les femme savent jouer au foot mais faut pas abuser non plus  les faute coup d’épaule ou pied sur le ballon carton rouge et tacle de boucher c’est avertissement voir jaune je parle pas de beug ou de scrip quand tu mène au score du genre 3-1 à la mi temp et deuxième mi temp l’adversaire a tout les contre improbable du jeu et remonte le score voir passe devant en même pas 10 min  les changements de joueur se font aléatoirement donc sa devien ingérable en défense ect EA manger vous un mur tant qu’il n’y aura pas d’amélioration je supprime le jeu.,0,04/10/2023,12,0,encore année perd argent pire pire joueurs beug gardien vrai grosse merde arrêt communauté ligne parle gens savent jouer football savent faire droit engagement match création jeux devient écœurant femmes ont meilleurs stats mecs jamais vue femme savent jouer foot faut abuser non faute coup épaule pied ballon carton rouge tacle boucher avertissement voir jaune parle beug scrip quand mène score genre temp deuxième temp adversaire contre improbable jeu remonte score voir passe devant min changements joueur f,sad
