review,notes,dates,accords_avis,dessaccords_avis
Belle blague je les eu gratuitement résultat mon pote et devenu mon ennemi je vous déconseille cette blague c'est vraiment le pire jeu de foot ne l'achetez pas c'est vraiment une honte les bug a chaque fois je suis devant les cage mon joueur ne tire pas s'arrête de bougez c'est vraiment un sketch,0,Posté le 03 oct. 2023 à 11:54,21,0
"EA qui comme d'habitude s'engraisse avec les pigeons mais le jeu est de pire en pire. Une Caaataaastrophe ""Simulation"" de football lol.Vivement qu'un concurrent vienne s'immiscer dans la lutte ! C'est pas près d'arriver malheureusement !",0,Posté le 29 sept. 2023 à 19:06,17,0
Belle blague je les eu gratuitement résultat mon pote et devenu mon ennemi je vous déconseille cette blague c'est vraiment le pire jeu de foot ne l'achetez pas c'est vraiment une honte les bug a chaque fois je suis devant les cage mon joueur ne tire pas s'arrête de bougez c'est vraiment un sketch,0,Posté le 03 oct. 2023 à 11:54,21,0
"EA qui comme d'habitude s'engraisse avec les pigeons mais le jeu est de pire en pire. Une Caaataaastrophe ""Simulation"" de football lol.Vivement qu'un concurrent vienne s'immiscer dans la lutte ! C'est pas près d'arriver malheureusement !",0,Posté le 29 sept. 2023 à 19:06,17,0
"Ils ont réussi à faire pire que Fifa 23 ! Milieu et défense à l’ouest. On a l’impression que c’est fait exprès pour avoir des matchs à 7,8,9 buts… À fuir",0,Posté le 29 sept. 2023 à 18:32,15,0
"Adepte des FIFA depuis le 96, j'ai toujours été convaincu par ce que proposait la marque, avec des hauts et des bas certes, mais un certain niveau de qualité et de prestige. Et malgré quelques allers-retours chez PES, j'y suis toujours revenu, car FIFA restait une référence. Mais cette année, cela ne peut plus être le cas. Ce EAFC24 n'a plus grand chose à voir avec une simulation de football, dans la mesure où le match en lui-même, le cœur du jeu de foot, est une succession de catastrophes. Certes, le contenu est pléthorique, mais c'est une vaine consolation quand la finalité du jeu, jouer au football, est une telle souffrance. Même en faisant abstraction du online, mode dans lequel le gameplay devient carrément grotesque, le jeu ne procure aucun plaisir tant la physique du ballon, des joueurs, leurs vitesses relatives, les passes, les ""tirs"", le jeu des gardiens, tout cela est complètement à côté de la plaque. Même l'opus précédent, reconnu comme mauvais mais ayant l'excuse de la transition, ne proposait pas un niveau de simulation aussi désastreux. Aussi je suis extrêmement surpris par la note attribuée par le testeur, j'ai vraiment l'impression d'avoir joué à un autre jeu que lui.Points positifs :- Le mode carrière joueur, très complet et permettant de faire abstraction du gameplay à condition de contrôler le joueur seul.- Le contenu.Points négatifs :- Jouer un match de football dans le jeu : tout est à revoir, la physique des joueurs, des ballons, les passes absurdes, le combo tir-arrêt du gardien totalement irréaliste, L'IA des coéquipiers en phase défensive, l'IA des coéquipiers en phase de possession, l'IA adverse, le online qui transforme tout cela en grand n'importe quoi...",5,Posté le 29 sept. 2023 à 07:53,34,3
"Ce n'est pas du football les joueurs glissent de partout , aucun équilibre entre l'attaque et la défense..Jeu catastrophique en l'état .Arnaque totale a 70 euros",0,Posté le 30 sept. 2023 à 13:12,14,0
"J'ai même plus les mots... Quelle médiocrité bon sang (et pour rester poli) ! Chez EA, plus aucun effort à fournir, aucune concurrence donc on reste au mieux sur nos acquis, et on continue de pondre une daube de jeu arcade avec son jeu de cartes claqué mais hyper lucratif qui convient à tous les footix.Perso, je m'en balancerais royalement des licences si un autre éditeur composés de vrais passionnés nous sortaient une vraie simulation de football, avec un gameplay réaliste. Si seulement un autre acteur entrait dans la danse. Y a tellement une place à prendre.",0,Posté le 30 sept. 2023 à 09:59,14,0
"Copié collé du 23, honteux de vendre ça 70 euros. C'est tellement dommage que les gens soient encore assez fou pour bien noter ce jeu. Ça vous fait rien franchement ? À un moment donné, faudrait peut-être leur faire comprendre qu'ils ont fait de la *****.",0,Posté le 30 sept. 2023 à 17:14,20,1
"La déception est totale  franchement c'est le pire opus de la série, fifa 23 était limite bien meilleur, 80e pour ça franchement c grave.passez votre chemin.",0,Posté le 29 sept. 2023 à 13:55,13,0
